DATE,AWEPPUKQ
1996-01-01,261.82
1996-04-01,263.48
1996-07-01,266.43
1996-10-01,269.74
1997-01-01,272.93
1997-04-01,274.45
1997-07-01,278.50
1997-10-01,282.45
1998-01-01,287.92
1998-04-01,290.24
1998-07-01,292.83
1998-10-01,295.02
1999-01-01,301.12
1999-04-01,302.29
1999-07-01,305.12
1999-10-01,310.84
2000-01-01,311.00
2000-04-01,315.00
2000-07-01,319.67
2000-10-01,325.00
2001-01-01,330.33
2001-04-01,332.67
2001-07-01,335.00
2001-10-01,338.00
2002-01-01,340.67
2002-04-01,344.67
2002-07-01,346.00
2002-10-01,347.00
2003-01-01,351.33
2003-04-01,354.00
2003-07-01,357.00
2003-10-01,360.33
2004-01-01,362.00
2004-04-01,369.67
2004-07-01,373.67
2004-10-01,379.33
2005-01-01,380.00
2005-04-01,386.67
2005-07-01,392.00
2005-10-01,395.33
2006-01-01,400.33
2006-04-01,405.00
2006-07-01,407.33
2006-10-01,414.33
2007-01-01,424.67
2007-04-01,422.33
2007-07-01,428.33
2007-10-01,431.00
2008-01-01,442.67
2008-04-01,439.67
2008-07-01,441.33
2008-10-01,443.33
2009-01-01,430.67
2009-04-01,444.00
2009-07-01,443.67
2009-10-01,447.33
2010-01-01,449.33
2010-04-01,449.33
2010-07-01,452.67
2010-10-01,455.00
2011-01-01,461.67
2011-04-01,460.67
2011-07-01,462.33
2011-10-01,464.00
2012-01-01,465.00
2012-04-01,468.33
2012-07-01,470.67
2012-10-01,470.00
2013-01-01,467.00
2013-04-01,479.00
2013-07-01,474.33
2013-10-01,475.67
2014-01-01,476.00
2014-04-01,478.33
2014-07-01,479.33
2014-10-01,485.67
2015-01-01,487.33
2015-04-01,490.33
2015-07-01,493.33
2015-10-01,495.00
2016-01-01,497.33
2016-04-01,502.33
2016-07-01,505.33
2016-10-01,507.67
